Time[s],DEV1_db::CSDO_001::CCS,DEV1_db::HBGuard_001::Toggle,DEV1_db::HBGuard_001::State,DEV1_db::HBGuard_008::Toggle,DEV1_db::HBGuard_008::State,DEV1_db::N8_TPDO0::Temp_2,DEV1_db::N8_TPDO0::Temp_1,DEV1_db::N8_TPDO1::Temp_4,DEV1_db::N8_TPDO1::Temp_3,DEV1_db::N8_TPDO3::Voltage_Sensor_4,DEV1_db::N8_TPDO3::Voltage_Sensor_3,DEV1_db::NMTZeroMsg::Node_ID,DEV1_db::NMTZeroMsg::CS,DEV1_db::SSDO_001::SCS
53.652700,,,,,,,,6993,6407,,,,,
54.338950,,0,5,,,,,,,,,,,
54.442800,,,,,,,,,,120,120,,,
54.443100,,,,,,,,,,120,120,,,
55.232100,,,,0,5,,,,,,,,,
56.589900,,0,5,,,,,,,,,,,
57.204300,,,,,,6602,6896,,,,,,,
57.204700,,,,,,6602,6896,,,,,,,
57.599500,,,,,,,,7189,7384,,,,,
57.599900,,,,,,,,7189,7384,,,,,
58.840750,,0,5,,,,,,,,,,,
59.179200,,,,0,5,,,,,,,,,
60.757250,,,,,,37177,6505,,,,,,,
60.757500,,,,,,37177,6505,,,,,,,
61.091700,,0,5,,,,,,,,,,,
61.152300,,,,,,,,7091,23701,,,,,
61.152600,,,,,,,,7091,23701,,,,,
61.942600,,,,,,,,,,119,113,,,
61.942950,,,,,,,,,,119,113,,,
62.731950,,,,0,5,,,,,,,,,
63.342700,,0,5,,,,,,,,,,,
64.309700,,,,,,37079,7091,,,,,,,
64.310100,,,,,,37079,7091,,,,,,,
64.704850,,,,,,,,6798,24092,,,,,
64.705150,,,,,,,,6798,24092,,,,,
65.495050,,,,,,,,,,118,124,,,
65.495400,,,,,,,,,,118,124,,,
65.593550,,0,5,,,,,,,,,,,
66.284350,,,,0,5,,,,,,,,,
67.844650,,0,5,,,,,,,,,,,
67.862150,,,,,,23896,6896,,,,,,,
67.862500,,,,,,23896,6896,,,,,,,
68.257250,,,,,,,,6798,6700,,,,,
68.257600,,,,,,,,6798,6700,,,,,
69.047600,,,,,,,,,,117,118,,,
69.047900,,,,,,,,,,117,118,,,
69.836850,,,,0,5,,,,,,,,,
70.095750,,0,5,,,,,,,,,,,
71.414350,,,,,,37275,7580,,,,,,,
71.414750,,,,,,37275,7580,,,,,,,
71.809500,,,,,,,,7287,7580,,,,,
72.346700,,0,5,,,,,,,,,,,
72.599700,,,,,,,,,,118,117,,,
72.600050,,,,,,,,,,118,117,,,
73.389050,,,,0,5,,,,,,,,,
74.597800,,0,5,,,,,,,,,,,
74.966850,,,,,,37275,6798,,,,,,,
74.967200,,,,,,37275,6798,,,,,,,
75.361950,,,,,,,,6700,6700,,,,,
75.362250,,,,,,,,6700,6700,,,,,
76.152350,,,,,,,,,,118,120,,,
76.848700,,0,5,,,,,,,,,,,
77.335800,,,,0,5,,,,,,,,,
78.913650,,,,,,23505,6602,,,,,,,
78.914000,,,,,,23505,6602,,,,,,,
79.099600,,0,5,,,,,,,,,,,
79.308950,,,,,,,,7189,7482,,,,,
79.309200,,,,,,,,7189,7482,,,,,
80.099050,,,,,,,,,,116,116,,,
80.099400,,,,,,,,,,116,116,,,
81.282500,,,,0,5,,,,,,,,,
81.350550,,0,5,,,,,,,,,,,
82.860400,,,,,,37275,7091,,,,,,,
82.860800,,,,,,37275,7091,,,,,,,
83.255600,,,,,,,,6896,23799,,,,,
83.255900,,,,,,,,6896,23799,,,,,
83.601450,,0,5,,,,,,,,,,,
84.045950,,,,,,,,,,118,118,,,
84.046350,,,,,,,,,,118,118,,,
85.229750,,,,0,5,,,,,,,,,
85.852350,,0,5,,,,,,,,,,,
86.807550,,,,,,37177,6993,,,,,,,
86.807750,,,,,,37177,6993,,,,,,,
87.202500,,,,,,,,6798,7482,,,,,
87.202850,,,,,,,,6798,7482,,,,,
87.992750,,,,,,,,,,118,122,,,
87.993100,,,,,,,,,,118,122,,,
88.103450,,0,5,,,,,,,,,,,
89.176250,,,,0,5,,,,,,,,,
90.354400,,0,5,,,,,,,,,,,
90.754150,,,,,,37177,6896,,,,,,,
90.754500,,,,,,37177,6896,,,,,,,
91.149300,,,,,,,,6602,6798,,,,,
91.149650,,,,,,,,6602,6798,,,,,
91.939700,,,,,,,,,,120,120,,,
91.939950,,,,,,,,,,120,120,,,
92.605750,,0,5,,,,,,,,,,,
93.123050,,,,0,5,,,,,,,,,
94.306650,,,,,,7580,7482,,,,,,,
94.306900,,,,,,7580,7482,,,,,,,
94.701650,,,,,,,,7384,23603,,,,,
94.702000,,,,,,,,7384,23603,,,,,
94.856850,,0,5,,,,,,,,,,,
95.492050,,,,,,,,,,116,114,,,
95.492350,,,,,,,,,,116,114,,,
96.675550,,,,0,5,,,,,,,,,
97.108100,,0,5,,,,,,,,,,,
97.859200,,,,,,7580,25656,,,,,,,
97.859500,,,,,,7580,25656,,,,,,,
98.254350,,,,,,,,7482,7091,,,,,
98.254650,,,,,,,,7482,7091,,,,,
99.044650,,,,,,,,,,120,121,,,
99.045000,,,,,,,,,,120,121,,,
99.359100,,0,5,,,,,,,,,,,
100.228200,,,,0,5,,,,,,,,,
101.411800,,,,,,7580,6700,,,,,,,
101.412150,,,,,,7580,6700,,,,,,,
101.610200,,0,5,,,,,,,,,,,
101.807000,,,,,,,,6602,6993,,,,,
101.807350,,,,,,,,6602,6993,,,,,
102.597300,,,,,,,,,,121,123,,,
102.597650,,,,,,,,,,121,123,,,
103.780900,,,,0,5,,,,,,,,,
103.861400,,0,5,,,,,,,,,,,
104.964500,,,,,,7677,7287,,,,,,,
104.964850,,,,,,7677,7287,,,,,,,
105.359700,,,,,,,,6993,7677,,,,,
105.360100,,,,,,,,6993,7677,,,,,
106.112350,,0,5,,,,,,,,,,,
106.150000,,,,,,,,,,117,120,,,
106.150300,,,,,,,,,,117,120,,,
107.333500,,,,0,5,,,,,,,,,
108.363350,,0,5,,,,,,,,,,,
108.517050,,,,,,7482,7189,,,,,,,
108.517400,,,,,,7482,7189,,,,,,,
108.912300,,,,,,,,7482,7384,,,,,
108.912800,,,,,,,,7482,7384,,,,,
109.702650,,,,,,,,,,117,119,,,
109.703000,,,,,,,,,,117,119,,,
110.614550,,0,5,,,,,,,,,,,
111.280750,,,,0,5,,,,,,,,,
112.464300,,,,,,7775,25753,,,,,,,
112.464650,,,,,,7775,25753,,,,,,,
112.859450,,,,,,,,6798,24190,,,,,
112.859750,,,,,,,,6798,24190,,,,,
113.649700,,,,,,,,,,118,119,,,
113.650050,,,,,,,,,,118,119,,,
115.116650,,0,5,,,,,,,,,,,
115.227500,,,,0,5,,,,,,,,,
116.411050,,,,,,7482,25851,,,,,,,
116.411550,,,,,,7482,25851,,,,,,,
116.806250,,,,,,,,7482,7775,,,,,
116.806600,,,,,,,,7482,7775,,,,,
117.367700,,0,5,,,,,,,,,,,
117.596600,,,,,,,,,,118,123,,,
117.597000,,,,,,,,,,118,123,,,
119.174700,,,,0,5,,,,,,,,,
119.618850,,0,5,,,,,,,,,,,
120.358350,,,,,,7677,26340,,,,,,,
120.358700,,,,,,7677,26340,,,,,,,
120.753550,,,,,,,,7677,8166,,,,,
120.753900,,,,,,,,7677,8166,,,,,
121.544350,,,,,,,,,,121,122,,,
121.869900,,0,5,,,,,,,,,,,
124.121100,,0,5,,,,,,,,,,,
124.305550,,,,,,7189,26340,,,,,,,
124.305900,,,,,,7189,26340,,,,,,,
124.700700,,,,,,,,7580,7287,,,,,
124.701000,,,,,,,,7580,7287,,,,,
125.491050,,,,,,,,,,117,122,,,
125.491400,,,,,,,,,,117,122,,,
126.372300,,0,5,,,,,,,,,,,
127.068950,,,,0,5,,,,,,,,,
127.858050,,,,,,37568,7677,,,,,,,
127.858450,,,,,,37568,7677,,,,,,,
128.253400,,,,,,,,7287,23994,,,,,
128.623600,,0,5,,,,,,,,,,,
129.043450,,,,,,,,,,123,120,,,
129.043750,,,,,,,,,,123,120,,,
130.621300,,,,0,5,,,,,,,,,
130.874700,,0,5,,,,,,,,,,,
131.410400,,,,,,7971,26633,,,,,,,
131.410750,,,,,,7971,26633,,,,,,,
131.805550,,,,,,,,7091,7580,,,,,
131.805900,,,,,,,,7091,7580,,,,,
132.595800,,,,,,,,,,125,118,,,
132.596150,,,,,,,,,,125,118,,,
133.125650,,0,5,,,,,,,,,,,
134.173500,,,,0,5,,,,,,,,,
134.962600,,,,,,37470,7482,,,,,,,
134.962950,,,,,,37470,7482,,,,,,,
135.357650,,,,,,,,7287,24776,,,,,
135.358000,,,,,,,,7287,24776,,,,,
135.376550,,0,5,,,,,,,,,,,
136.147850,,,,,,,,,,122,124,,,
136.148200,,,,,,,,,,122,124,,,
137.725550,,,,0,5,,,,,,,,,
138.514600,,,,,,7971,26731,,,,,,,
138.515000,,,,,,7971,26731,,,,,,,
138.909800,,,,,,,,7775,7287,,,,,
138.910150,,,,,,,,7775,7287,,,,,
139.700050,,,,,,,,,,120,125,,,
139.700400,,,,,,,,,,120,125,,,
139.878050,,0,5,,,,,,,,,,,
141.277800,,,,0,5,,,,,,,,,
142.067000,,,,,,38252,7384,,,,,,,
142.067350,,,,,,38252,7384,,,,,,,
142.128800,,0,5,,,,,,,,,,,
142.462050,,,,,,,,7482,23994,,,,,
143.252150,,,,,,,,,,120,122,,,
143.252450,,,,,,,,,,120,122,,,
144.379550,,0,5,,,,,,,,,,,
145.223900,,,,0,5,,,,,,,,,
146.013100,,,,,,7677,8459,,,,,,,
146.013400,,,,,,7677,8459,,,,,,,
146.408150,,,,,,,,7189,7677,,,,,
146.408500,,,,,,,,7189,7677,,,,,
146.630300,,0,5,,,,,,,,,,,
147.198450,,,,,,,,,,118,123,,,
147.198800,,,,,,,,,,118,123,,,
148.881000,,0,5,,,,,,,,,,,
149.170550,,,,0,5,,,,,,,,,
149.959650,,,,,,38154,7580,,,,,,,
149.960000,,,,,,38154,7580,,,,,,,
150.354750,,,,,,,,7482,24581,,,,,
150.355100,,,,,,,,7482,24581,,,,,
151.131850,,0,5,,,,,,,,,,,
151.145100,,,,,,,,,,127,124,,,
151.145450,,,,,,,,,,127,124,,,
153.117300,,,,0,5,,,,,,,,,
153.382900,,0,5,,,,,,,,,,,
153.906350,,,,,,7873,8068,,,,,,,
153.906600,,,,,,7873,8068,,,,,,,
154.301400,,,,,,,,7971,7873,,,,,
154.301750,,,,,,,,7971,7873,,,,,
155.091650,,,,,,,,,,127,129,,,
155.092000,,,,,,,,,,127,129,,,
155.633800,,0,5,,,,,,,,,,,
157.063650,,,,0,5,,,,,,,,,
157.852700,,,,,,38154,7677,,,,,,,
157.853100,,,,,,38154,7677,,,,,,,
157.884800,,0,5,,,,,,,,,,,
158.247800,,,,,,,,7971,24776,,,,,
158.248150,,,,,,,,7971,24776,,,,,
159.038450,,,,,,,,,,127,127,,,
160.135700,,0,5,,,,,,,,,,,
161.010150,,,,0,5,,,,,,,,,
161.405150,,,,,,25069,7971,,,,,,,
161.405450,,,,,,25069,7971,,,,,,,
161.800150,,,,,,,,8166,7677,,,,,
161.800550,,,,,,,,8166,7677,,,,,
162.386450,,0,5,,,,,,,,,,,
162.590400,,,,,,,,,,126,130,,,
162.590750,,,,,,,,,,126,130,,,
164.562350,,,,0,5,,,,,,,,,
164.637300,,0,5,,,,,,,,,,,
164.957200,,,,,,24874,7580,,,,,,,
164.957500,,,,,,24874,7580,,,,,,,
165.352250,,,,,,,,8264,8264,,,,,
165.352600,,,,,,,,8264,8264,,,,,
166.142450,,,,,,,,,,125,123,,,
166.142750,,,,,,,,,,125,123,,,
168.509300,,,,,,7873,7873,,,,,,,
168.509600,,,,,,7873,7873,,,,,,,
168.904350,,,,,,,,7971,7971,,,,,
168.904700,,,,,,,,7971,7971,,,,,
169.139200,,0,5,,,,,,,,,,,
169.694500,,,,,,,,,,129,125,,,
169.694900,,,,,,,,,,129,125,,,
171.390100,,0,5,,,,,,,,,,,
171.666400,,,,0,5,,,,,,,,,
172.061300,,,,,,38057,8166,,,,,,,
172.061700,,,,,,38057,8166,,,,,,,
172.456350,,,,,,,,7482,24678,,,,,
172.456650,,,,,,,,7482,24678,,,,,
173.247050,,,,,,,,,,129,120,,,
173.640800,,0,5,,,,,,,,,,,
175.218300,,,,0,5,,,,,,,,,
175.613400,,,,,,24385,8557,,,,,,,
175.613650,,,,,,24385,8557,,,,,,,
175.891450,,0,5,,,,,,,,,,,
176.008400,,,,,,,,8068,8068,,,,,
176.008800,,,,,,,,8068,8068,,,,,
176.798650,,,,,,,,,,128,128,,,
176.799000,,,,,,,,,,128,128,,,
178.142200,,0,5,,,,,,,,,,,
179.165050,,,,0,5,,,,,,,,,
179.559900,,,,,,7677,26438,,,,,,,
179.560250,,,,,,7677,26438,,,,,,,
179.955000,,,,,,,,8655,8362,,,,,
179.955350,,,,,,,,8655,8362,,,,,
180.392950,,0,5,,,,,,,,,,,
182.643850,,0,5,,,,,,,,,,,
183.111650,,,,0,5,,,,,,,,,
183.506550,,,,,,8264,7384,,,,,,,
183.506900,,,,,,8264,7384,,,,,,,
183.901650,,,,,,,,7580,7971,,,,,
183.902000,,,,,,,,7580,7971,,,,,
184.691900,,,,,,,,,,130,127,,,
184.692250,,,,,,,,,,130,127,,,
184.894700,,0,5,,,,,,,,,,,
187.058300,,,,0,5,,,,,,,,,
187.145650,,0,5,,,,,,,,,,,
187.453200,,,,,,7971,7775,,,,,,,
187.453500,,,,,,7971,7775,,,,,,,
187.848200,,,,,,,,8068,8753,,,,,
187.848550,,,,,,,,8068,8753,,,,,
188.638350,,,,,,,,,,124,127,,,
188.638650,,,,,,,,,,124,127,,,
189.396800,,0,5,,,,,,,,,,,
191.004500,,,,0,5,,,,,,,,,
191.399500,,,,,,24678,7677,,,,,,,
191.647900,,0,5,,,,,,,,,,,
191.794450,,,,,,,,8166,8068,,,,,
191.794750,,,,,,,,8166,8068,,,,,
192.584650,,,,,,,,,,124,126,,,
192.585000,,,,,,,,,,124,126,,,
193.899150,,0,5,,,,,,,,,,,
